Loc	Team	CNES	Req	Transf	New	Res	Surp	Def
[SHC1]	ME2	3.0	0.66	-1.0	0.0	2.0	1.3	0.0
[SHC1]	EF2	3.0	0.66	-2.0	0.0	1.0	0.3	0.0
[SHC1]	DE2	3.0	0.66	0.0	0.0	3.0	2.3	0.0
[SHC2]	ME2	1.0	0.66	0.0	0.0	1.0	0.3	0.0
[SHC2]	EF2	1.0	0.66	0.0	0.0	1.0	0.3	0.0
[SHC2]	DE2	3.0	0.66	-1.0	0.0	2.0	1.3	0.0
[SHC3]	ME2	3.0	0.66	0.0	0.0	3.0	2.3	0.0
[SHC3]	EF2	1.0	0.66	0.0	0.0	1.0	0.3	0.0
[SHC3]	DE2	3.0	0.66	-1.0	0.0	2.0	1.3	0.0
[SHC4]	ME2	2.0	0.66	-1.0	0.0	1.0	0.3	0.0
[SHC4]	EF2	1.0	0.66	0.0	0.0	1.0	0.3	0.0
[SHC4]	DE2	1.0	0.66	0.0	0.0	1.0	0.3	0.0
[SHC6]*	ME2	0.0	0.66	1.0	0.0	1.0	0.3	0.0
[SHC6]*	EF2	0.0	0.66	1.0	0.0	1.0	0.3	0.0
[SHC6]*	DE2	0.0	0.66	1.0	0.0	1.0	0.3	0.0
[SHC8]*	ME2	0.0	0.66	1.0	0.0	1.0	0.3	0.0
[SHC8]*	EF2	0.0	0.66	1.0	0.0	1.0	0.3	0.0
[SHC8]*	DE2	0.0	0.66	1.0	0.0	1.0	0.3	0.0
